Avocado ID,Temperature,Humidity,Pressure,Gas Resistance,CO2,Day,Label,Time
6,30.0,68.6,1004.2,453.0,3747,2,0,60
6,28.1,68.9,1006.1,392.1,4153,2,0,60
9,29.9,70.5,1006.8,344.3,3608,2,0,60
9,30.8,70.9,1008.0,263.4,3902,2,0,60
12,29.5,72.9,1007.6,210.6,5094,2,0,60
12,28.5,78.3,1008.2,355.8,4297,2,0,60
15,29.5,80.0,1006.2,263.8,3942,2,0,60
18,29.1,83.0,1007.8,396.1,3766,2,0,60
18,27.4,79.3,1005.9,176.6,4239,2,0,60
21,27.3,83.6,1008.6,390.5,5094,2,0,60
21,26.9,72.1,1007.4,344.9,4340,2,0,60
24,28.4,81.9,1009.4,302.9,3441,2,0,60
27,29.6,75.2,1009.4,491.4,3893,2,0,60
27,28.7,75.7,1009.8,410.6,4587,2,0,60
30,27.1,76.4,1007.4,431.6,4597,2,0,60
30,31.1,78.5,1005.5,284.2,4282,2,0,60
1,30.7,70.2,1006.9,269.7,4567,2,0,66
1,28.2,81.0,1004.4,369.8,5084,2,0,66
4,29.0,74.7,1009.1,397.5,4223,2,0,66
4,29.1,74.2,1005.5,378.2,3647,2,0,66
7,29.8,78.6,1005.2,481.2,4887,2,0,66
7,29.4,83.9,1007.1,433.5,3048,2,0,66
10,30.5,76.1,1005.7,338.6,3851,2,0,66
10,30.5,66.3,1007.7,271.7,4163,2,0,66
13,30.2,83.7,1005.3,394.6,5094,2,0,66
13,29.5,76.5,1007.5,377.4,4546,2,0,66
16,27.4,82.0,1006.2,367.9,4166,2,0,66
19,29.5,74.7,1006.9,418.0,4393,2,0,66
19,27.4,82.1,1005.8,265.3,4558,2,0,66
22,29.5,75.6,1006.9,343.2,5094,2,0,66
22,30.4,73.4,1004.5,348.6,4782,2,0,66
25,29.5,73.2,1007.0,221.1,3882,2,0,66
28,29.1,73.1,1009.8,291.4,4281,2,0,66
28,28.2,75.1,1008.7,345.2,4556,2,0,66
2,30.1,77.0,1008.4,383.4,3147,3,0,72
2,29.5,76.2,1005.0,372.1,4397,3,0,72
5,31.2,76.3,1003.5,342.0,4663,3,0,72
5,29.9,79.9,1006.4,351.5,3816,3,0,72
8,27.2,74.1,1008.2,324.5,4157,3,0,72
8,28.6,71.5,1006.3,416.7,4028,3,0,72
11,30.2,73.7,1006.6,393.5,4651,3,0,72
11,28.7,77.1,1003.5,298.2,4119,3,0,72
14,28.9,69.1,1004.4,367.5,4458,3,0,72
14,28.4,75.0,1004.2,282.0,4076,3,0,72
17,30.5,78.3,1005.9,384.7,3985,3,0,72
20,28.9,76.3,1007.5,372.4,4086,3,0,72
20,27.2,78.2,1007.6,389.0,3757,3,0,72
23,31.8,69.7,1006.0,351.4,4885,3,0,72
23,29.5,69.6,1008.3,305.0,4348,3,0,72
26,30.8,68.7,1007.5,315.9,4771,3,0,72
29,27.5,67.9,1003.5,321.2,4720,3,0,72
29,28.4,74.1,1005.9,491.4,4378,3,0,72
3,29.1,75.1,1005.2,355.5,4551,3,0,78
3,28.6,71.6,1005.2,292.8,3392,3,0,78
6,28.1,76.3,1006.3,340.0,4580,3,0,78
6,28.4,74.2,1006.4,306.9,4419,3,0,78
9,29.8,75.3,1005.4,344.2,3683,3,0,78
9,30.3,69.3,1006.6,253.5,3915,3,0,78
12,29.3,76.5,1007.0,372.0,4515,3,0,78
12,29.5,70.7,1007.0,261.1,4032,3,0,78
15,29.9,79.1,1005.3,317.5,4936,3,0,78
15,26.9,82.5,1009.0,338.5,3931,3,0,78
18,26.9,82.8,1008.4,318.7,3791,3,0,78
21,27.3,79.1,1004.0,383.5,4223,3,0,78
21,28.2,77.6,1009.1,396.1,5094,3,0,78
24,28.6,67.0,1004.2,367.0,4030,3,0,78
24,30.1,78.5,1007.4,352.6,4384,3,0,78
27,28.5,79.8,1008.0,384.2,4284,3,0,78
30,27.6,76.0,1005.5,363.7,3676,3,0,78
30,29.5,74.3,1007.4,265.4,3915,3,0,78
1,31.0,69.2,1004.8,339.1,4438,3,0,84
1,30.5,72.6,1008.1,321.2,4338,3,0,84
4,27.1,70.2,1008.0,462.5,4845,3,0,84
4,28.5,69.2,1007.7,491.4,4825,3,0,84
7,29.7,73.1,1007.4,404.8,3877,3,0,84
7,31.3,77.7,1006.6,432.1,4323,3,0,84
10,30.0,71.6,1006.4,345.4,4252,3,0,84
10,29.0,75.2,1005.7,480.3,4017,3,0,84
13,30.2,74.6,1005.4,337.7,4048,3,0,84
13,29.4,78.5,1007.6,457.3,4195,3,0,84
16,29.5,73.0,1006.4,413.4,5090,3,0,84
16,27.9,79.3,1003.5,346.4,4432,3,0,84
19,29.5,69.3,1007.7,360.1,3766,3,0,84
22,28.9,77.0,1007.3,322.0,4256,3,0,84
22,27.7,73.3,1004.8,418.9,4927,3,0,84
25,30.2,74.1,1005.6,251.8,4133,3,0,84
25,32.2,81.7,1008.4,301.3,5094,3,0,84
28,28.6,68.4,1007.8,377.0,4137,3,0,84
2,31.2,80.1,1003.5,321.4,3745,3,0,90
2,31.0,77.4,1003.5,423.8,4189,3,0,90
5,31.9,70.9,1007.3,220.2,5094,3,0,90
5,29.3,76.4,1007.2,383.9,4371,3,0,90
8,29.9,80.8,1006.1,418.2,4788,3,0,90
8,30.1,79.4,1007.2,353.1,4255,3,0,90
11,28.7,73.6,1004.4,447.5,5010,3,0,90
11,28.4,64.6,1008.6,383.4,3845,3,0,90
14,30.8,74.2,1007.6,466.9,4157,3,0,90
14,29.5,74.5,1004.8,338.7,3443,3,0,90
17,30.0,75.7,1005.0,353.4,4246,3,0,90
17,29.0,72.9,1007.1,419.1,4717,3,0,90
20,30.4,83.9,1006.3,402.3,4327,3,0,90
23,30.9,69.3,1006.1,293.2,4564,3,0,90
23,30.9,71.9,1005.5,216.2,5094,3,0,90
26,29.2,76.1,1009.1,387.4,5091,3,0,90
26,27.5,71.4,1006.8,487.4,4673,3,0,90
29,29.6,75.1,1006.5,491.4,3740,3,0,90
1,29.0,70.8,1006.6,187.0,4291,4,1,96
1,29.0,73.8,1004.4,271.7,4712,4,1,96
3,29.3,77.9,1005.0,377.7,4137,4,0,96
3,26.9,76.7,1004.6,425.8,4047,4,0,96
6,29.1,69.2,1008.4,430.2,3496,4,0,96
6,28.7,81.0,1005.2,368.1,4401,4,0,96
6,27.3,78.9,1004.0,365.2,3696,4,1,96
6,27.9,73.9,1005.0,357.6,3873,4,1,96
9,28.9,74.2,1005.8,463.6,3195,4,0,96
9,31.1,72.2,1005.5,311.9,4387,4,0,96
11,28.2,72.1,1004.7,369.1,4060,4,1,96
11,28.2,77.6,1004.2,318.5,3915,4,1,96
12,29.7,76.4,1008.5,377.4,4349,4,0,96
12,30.9,78.2,1007.4,247.4,4401,4,0,96
15,26.9,78.7,1007.6,259.6,4266,4,0,96
15,28.9,76.8,1006.3,254.1,4901,4,0,96
16,29.2,82.3,1006.9,316.8,3873,4,1,96
16,29.1,88.1,1004.2,244.7,3473,4,1,96
18,29.1,82.5,1005.9,255.7,3663,4,0,96
18,28.5,78.1,1005.9,329.1,4714,4,0,96
21,27.5,73.7,1009.2,420.2,4504,4,0,96
21,28.5,79.7,1008.0,372.3,4085,4,1,96
24,30.3,75.0,1008.7,383.4,3935,4,0,96
24,30.6,74.0,1008.4,412.2,4516,4,0,96
26,29.1,70.2,1008.0,347.6,4277,4,1,96
27,28.6,70.7,1007.0,372.5,3062,4,0,96
27,27.2,73.9,1008.6,387.2,3487,4,0,96
30,30.4,76.0,1006.1,463.6,4242,4,0,96
2,30.2,88.3,1004.9,211.0,3236,4,1,102
2,31.1,77.8,1006.3,235.0,3245,4,1,102
7,29.6,81.4,1004.3,383.1,3932,4,1,102
7,30.0,78.1,1004.6,403.6,3328,4,1,102
12,28.8,79.2,1007.8,383.4,4142,4,1,102
12,29.3,72.3,1007.6,344.9,3840,4,1,102
17,29.4,72.5,1005.9,309.3,3928,4,1,102
17,29.2,73.3,1006.2,379.3,3467,4,1,102
22,30.0,72.6,1004.1,246.5,5094,4,1,102
27,29.2,74.6,1007.2,355.5,4251,4,1,102
3,28.7,80.0,1005.8,194.1,3835,4,1,108
3,30.3,70.9,1005.1,232.9,3919,4,1,108
8,29.3,78.7,1007.2,471.2,3670,4,1,108
8,30.7,82.1,1004.1,383.7,4016,4,1,108
13,30.7,82.2,1006.8,314.6,4680,4,1,108
13,30.6,81.7,1005.8,399.5,4845,4,1,108
18,27.3,85.9,1006.9,306.5,3577,4,1,108
18,30.4,77.8,1003.8,311.8,3529,4,1,108
23,29.0,76.1,1005.2,284.4,3879,4,1,108
28,30.3,76.9,1004.7,298.1,3372,4,1,108
4,30.5,81.9,1008.8,341.5,4092,4,1,114
4,29.2,82.4,1004.8,359.1,3880,4,1,114
9,31.1,78.2,1003.5,269.1,3356,4,1,114
9,30.6,79.1,1004.3,272.0,3369,4,1,114
14,31.9,83.5,1004.3,331.4,3942,4,1,114
14,30.1,78.1,1005.6,295.0,3247,4,1,114
19,28.8,72.8,1004.9,316.0,3787,4,1,114
24,28.1,73.6,1004.0,335.9,3378,4,1,114
29,29.0,80.7,1003.7,434.0,3850,4,1,114
1,30.6,74.2,1003.5,252.8,3530,5,2,120
1,29.1,79.3,1006.9,267.0,3916,5,2,120
5,31.9,84.5,1006.3,343.1,3813,5,1,120
5,29.8,77.4,1005.1,302.7,4566,5,1,120
6,28.1,77.1,1003.5,232.2,4081,5,2,120
6,29.8,77.9,1008.5,341.5,3834,5,2,120
10,29.5,76.2,1005.7,380.6,3408,5,1,120
10,27.6,72.9,1005.5,346.4,3592,5,1,120
11,28.3,77.7,1003.5,327.1,4175,5,2,120
11,29.4,78.9,1003.5,406.9,3575,5,2,120
15,28.6,84.4,1006.6,302.8,4779,5,1,120
15,29.6,76.8,1009.5,361.3,4072,5,1,120
16,30.7,81.0,1006.5,311.9,2914,5,2,120
20,28.9,79.2,1006.0,354.2,3630,5,1,120
21,29.3,77.2,1006.6,240.4,3339,5,2,120
25,29.2,79.8,1005.7,386.3,3421,5,1,120
26,28.8,74.9,1006.8,400.1,3221,5,2,120
30,26.9,77.4,1003.5,260.8,3534,5,1,120
2,30.8,81.7,1004.8,340.5,3882,5,2,126
2,29.7,83.3,1005.8,357.4,3007,5,2,126
7,29.1,80.1,1003.5,285.8,3444,5,2,126
7,32.4,79.2,1003.5,284.5,3863,5,2,126
12,29.3,79.4,1003.6,255.2,4084,5,2,126
12,30.2,81.5,1004.5,348.2,3680,5,2,126
17,30.4,78.9,1004.6,315.3,3528,5,2,126
22,28.9,74.9,1003.5,277.6,4294,5,2,126
27,29.6,74.7,1004.6,382.3,3299,5,2,126
3,30.1,83.0,1004.6,257.5,3668,5,2,132
3,30.8,84.3,1004.2,249.6,3815,5,2,132
8,29.5,86.3,1005.9,337.8,4083,5,2,132
8,30.6,85.4,1003.5,407.5,4281,5,2,132
13,31.2,82.3,1007.6,405.8,3507,5,2,132
18,27.5,88.3,1003.5,238.7,3939,5,2,132
23,31.0,80.5,1006.5,263.4,3980,5,2,132
28,29.0,74.1,1006.1,342.0,2982,5,2,132
4,27.9,79.0,1004.2,369.0,3637,5,2,138
4,29.0,79.6,1004.7,224.0,3817,5,2,138
9,31.5,78.0,1003.5,351.0,4240,5,2,138
9,30.2,76.7,1005.1,315.1,3733,5,2,138
14,31.9,75.9,1003.5,298.4,4040,5,2,138
19,29.5,83.7,1008.1,291.0,2963,5,2,138
24,31.3,84.6,1006.7,402.9,3946,5,2,138
29,28.8,80.0,1004.8,295.5,3870,5,2,138
1,29.3,81.0,1003.5,315.0,3889,6,3,144
5,29.0,78.2,1003.9,253.1,4045,6,2,144
5,30.7,85.6,1004.2,291.9,4472,6,2,144
5,29.9,81.4,1005.2,198.6,4092,6,3,144
9,30.1,79.9,1008.5,322.3,2393,6,3,144
10,29.9,83.2,1005.6,376.3,3124,6,2,144
10,28.0,76.4,1003.5,364.3,3853,6,2,144
13,31.3,83.3,1003.5,330.4,3122,6,3,144
15,27.9,85.3,1006.8,342.1,3695,6,2,144
17,29.7,78.6,1007.4,349.3,4744,6,3,144
20,30.4,87.0,1004.5,293.5,4470,6,2,144
21,26.9,82.7,1004.9,192.7,3049,6,3,144
25,31.6,74.3,1007.1,330.7,3421,6,2,144
30,28.2,88.3,1004.2,242.7,3670,6,2,144
2,30.5,85.3,1004.1,322.5,3410,6,3,150
6,26.9,79.1,1005.1,248.1,3546,6,3,150
10,27.9,77.1,1004.9,324.3,3345,6,3,150
14,29.3,80.5,1003.9,209.8,3078,6,3,150
18,27.9,88.3,1006.9,204.5,4060,6,3,150
22,30.6,76.0,1004.9,241.5,4381,6,3,150
3,26.9,82.3,1006.4,274.8,3417,6,3,156
7,30.5,88.3,1003.8,376.0,3090,6,3,156
11,27.4,85.3,1006.1,316.8,4114,6,3,156
15,27.3,85.6,1009.0,330.5,3600,6,3,156
19,26.9,76.1,1008.1,361.0,3481,6,3,156
1,30.4,77.6,1004.7,206.9,3629,6,4,162
4,29.8,74.2,1003.5,340.7,3504,6,3,162
5,31.4,78.8,1004.7,281.0,3284,6,4,162
8,27.5,88.3,1007.3,301.9,3864,6,3,162
9,29.2,74.5,1005.8,302.3,4390,6,4,162
12,29.9,84.7,1005.0,319.2,3373,6,3,162
13,29.1,84.0,1006.4,327.1,4285,6,4,162
16,30.1,81.4,1006.8,276.9,3673,6,3,162
17,30.8,77.1,1004.5,265.0,3181,6,4,162
20,28.3,88.3,1007.1,321.0,4265,6,3,162
21,27.0,82.1,1005.5,260.3,3927,6,4,162
25,30.6,82.6,1007.4,328.1,3161,6,4,162
2,31.4,82.6,1005.4,117.2,4142,7,4,168
6,29.1,79.7,1003.5,404.1,3704,7,4,168
10,29.5,70.6,1004.4,322.1,3686,7,4,168
14,31.3,75.1,1006.2,206.3,4667,7,4,168
18,28.1,77.7,1004.4,274.6,3678,7,4,168
22,30.6,72.9,1005.9,315.8,4787,7,4,168
26,30.7,75.9,1009.8,363.2,4462,7,4,168
3,28.9,87.3,1003.5,270.4,4312,7,4,174
7,31.2,77.5,1006.3,371.8,4363,7,4,174
11,31.3,76.5,1003.5,368.3,3497,7,4,174
15,31.1,79.1,1006.6,358.6,3797,7,4,174
19,28.3,77.2,1004.9,214.9,3107,7,4,174
23,30.3,83.0,1005.2,158.2,4408,7,4,174
27,28.8,74.7,1006.8,279.3,3150,7,4,174
1,30.2,75.5,1005.9,330.8,3880,7,5,180
1,29.8,75.8,1005.5,149.1,3738,7,5,180
4,29.2,80.5,1004.8,400.8,3986,7,4,180
6,27.7,76.2,1004.3,491.4,3884,7,5,180
8,31.7,86.7,1006.2,267.7,4567,7,4,180
11,32.6,77.1,1004.3,287.3,4730,7,5,180
12,32.2,78.0,1004.1,324.7,4919,7,4,180
16,29.7,81.6,1007.1,242.1,3769,7,4,180
16,28.7,79.4,1006.6,247.3,3718,7,5,180
20,30.6,78.8,1005.6,312.1,5094,7,4,180
21,31.0,79.6,1008.0,312.8,3066,7,5,180
24,30.9,75.0,1007.3,284.0,4174,7,4,180
26,31.6,75.0,1009.8,306.9,4024,7,5,180
2,31.2,82.2,1004.8,303.3,2705,7,5,186
2,28.3,87.3,1006.3,245.8,3998,7,5,186
7,30.2,84.9,1006.2,358.2,3452,7,5,186
12,28.6,75.9,1006.1,359.6,3390,7,5,186
17,29.9,79.3,1006.3,384.2,3904,7,5,186
22,29.3,72.3,1005.3,269.4,4203,7,5,186
27,30.4,75.3,1006.1,302.1,3792,7,5,186
3,29.4,77.4,1003.5,163.1,3809,8,5,192
8,31.8,80.0,1007.2,395.5,3827,8,5,192
13,32.4,85.3,1006.2,341.1,3431,8,5,192
18,30.3,87.9,1004.1,306.8,4449,8,5,192
23,32.3,79.2,1009.8,251.5,4521,8,5,192
28,29.2,76.5,1003.7,292.9,3614,8,5,192
4,28.0,80.4,1006.2,235.4,3319,8,5,198
9,30.5,78.0,1006.5,216.0,3748,8,5,198
14,30.6,76.7,1003.5,301.4,3938,8,5,198
19,28.0,80.5,1006.6,313.5,3890,8,5,198
24,31.3,83.3,1006.1,354.4,4443,8,5,198
29,29.4,76.5,1004.3,338.1,4541,8,5,198
1,32.7,77.5,1009.8,227.3,4501,8,6,204
1,28.8,73.3,1007.3,208.1,5023,8,6,204
1,31.1,77.3,1006.0,144.0,4663,8,6,204
1,30.9,82.5,1005.1,236.7,4569,8,6,204
1,31.5,77.9,1005.8,277.3,4608,8,6,204
5,31.6,79.1,1005.4,242.2,4135,8,5,204
10,28.3,73.8,1004.7,377.4,4555,8,5,204
15,27.4,78.2,1006.3,249.4,3873,8,5,204
16,29.9,88.3,1008.3,136.5,3823,8,6,204
16,27.7,82.5,1009.3,297.7,4221,8,6,204
16,29.2,82.7,1008.9,208.6,3521,8,6,204
16,28.4,86.8,1009.1,215.5,3321,8,6,204
16,31.3,85.4,1009.8,127.5,4471,8,6,204
20,29.0,88.2,1005.1,336.5,4595,8,5,204
25,29.8,79.7,1007.9,276.1,3224,8,5,204
30,27.8,78.9,1008.5,285.5,3763,8,5,204
2,28.9,84.7,1006.7,110.5,4423,8,6,210
2,29.7,88.3,1007.1,200.6,4355,8,6,210
2,31.5,86.8,1009.1,232.2,3992,8,6,210
2,29.0,88.3,1007.7,272.7,5094,8,6,210
2,29.5,86.8,1006.6,282.5,4584,8,6,210
17,30.5,77.3,1009.1,254.9,4135,8,6,210
17,28.5,74.6,1009.1,206.1,5094,8,6,210
17,30.7,78.4,1009.8,327.9,4279,8,6,210
17,31.3,87.8,1009.8,304.7,4708,8,6,210
17,29.4,83.4,1007.9,250.0,3585,8,6,210
3,28.7,85.2,1006.5,369.8,3810,9,6,216
3,28.0,84.3,1004.0,242.1,4586,9,6,216
3,32.0,88.3,1007.4,159.1,3832,9,6,216
3,28.4,82.2,1009.3,133.0,4589,9,6,216
3,29.4,85.4,1007.1,261.3,3492,9,6,216
18,29.1,88.3,1009.0,177.8,3531,9,6,216
18,31.6,88.3,1009.3,187.6,4708,9,6,216
18,29.1,86.6,1007.8,364.5,3773,9,6,216
18,28.3,88.1,1006.8,200.8,3551,9,6,216
18,29.1,82.2,1006.6,198.9,4140,9,6,216
4,28.8,83.7,1009.8,211.4,4993,9,6,222
4,30.0,81.8,1006.9,216.5,4875,9,6,222
4,30.2,80.4,1009.5,283.7,4366,9,6,222
4,29.9,84.7,1009.4,215.7,4607,9,6,222
4,28.5,81.1,1008.1,213.7,4449,9,6,222
19,29.3,88.3,1009.8,291.3,4419,9,6,222
19,28.8,84.7,1009.8,261.7,5094,9,6,222
19,28.8,88.0,1008.8,192.6,3606,9,6,222
19,29.4,83.3,1009.8,237.3,3997,9,6,222
19,29.9,79.8,1009.8,245.0,4068,9,6,222
5,29.4,88.3,1008.1,323.2,5094,9,6,228
5,31.0,83.0,1008.7,223.0,5094,9,6,228
5,31.7,86.2,1006.9,158.2,5003,9,6,228
5,31.4,81.4,1007.0,171.6,4223,9,6,228
5,29.4,85.8,1008.2,203.7,4367,9,6,228
20,28.0,87.3,1009.4,321.8,4461,9,6,228
20,27.6,85.5,1007.2,328.4,4460,9,6,228
20,30.7,88.3,1009.3,199.1,4909,9,6,228
20,30.3,83.4,1008.2,252.5,5017,9,6,228
20,28.5,87.2,1009.8,261.6,5064,9,6,228
6,28.6,88.3,1005.6,252.5,5094,9,6,234
6,30.5,81.7,1006.6,367.9,4483,9,6,234
6,28.1,82.8,1008.4,267.3,4177,9,6,234
6,30.5,79.1,1006.9,212.7,4351,9,6,234
6,29.1,84.5,1008.1,322.7,4492,9,6,234
21,28.5,86.5,1009.8,294.0,4617,9,6,234
21,29.2,81.2,1008.9,365.0,5063,9,6,234
21,28.8,84.1,1007.0,235.6,3934,9,6,234
21,28.4,86.2,1009.8,110.5,3909,9,6,234
7,29.6,83.1,1008.8,307.2,4567,10,6,240
7,29.5,81.1,1007.3,262.3,4738,10,6,240
7,28.5,81.4,1006.2,283.8,4194,10,6,240
7,32.1,88.0,1006.2,227.9,4679,10,6,240
7,28.6,83.7,1008.4,353.9,4904,10,6,240
22,30.5,76.8,1006.7,225.3,5094,10,6,240
22,28.0,81.7,1009.5,203.2,4242,10,6,240
22,30.1,80.6,1007.8,278.9,4709,10,6,240
22,30.2,83.9,1009.2,302.5,4639,10,6,240
8,29.0,86.8,1009.8,353.9,4660,10,6,246
8,30.8,88.3,1009.1,316.9,5094,10,6,246
8,28.8,88.3,1009.0,273.8,4764,10,6,246
8,29.3,84.2,1007.6,198.0,4555,10,6,246
8,30.3,83.1,1009.0,256.8,4403,10,6,246
23,31.0,83.6,1006.2,122.5,5094,10,6,246
23,31.3,82.0,1009.3,194.2,5094,10,6,246
23,31.2,83.1,1009.8,149.8,4558,10,6,246
23,30.7,79.9,1007.8,157.2,4469,10,6,246
9,28.8,80.0,1006.8,286.5,3460,10,6,252
9,31.2,85.5,1005.4,173.1,3876,10,6,252
9,31.3,74.3,1008.7,114.4,3856,10,6,252
9,29.8,83.9,1007.6,160.9,4526,10,6,252
9,28.8,81.5,1007.6,258.2,3556,10,6,252
24,30.6,77.3,1009.8,260.1,5094,10,6,252
24,29.6,80.2,1009.7,286.1,3637,10,6,252
24,31.6,82.4,1009.8,286.9,4058,10,6,252
24,30.4,79.6,1009.0,145.9,4450,10,6,252
10,29.7,76.6,1009.7,291.0,4484,10,6,258
10,26.9,80.6,1009.8,219.1,4473,10,6,258
10,30.2,82.7,1008.8,258.6,5021,10,6,258
10,30.5,77.7,1005.3,222.2,3777,10,6,258
10,27.8,88.3,1006.5,264.4,4582,10,6,258
25,31.7,85.0,1009.1,250.8,4120,10,6,258
25,31.8,78.7,1009.3,221.1,3848,10,6,258
25,31.3,82.9,1009.8,340.0,4658,10,6,258
25,30.5,85.4,1008.6,210.1,4608,10,6,258
11,29.9,80.0,1008.8,275.9,4884,11,6,264
11,28.4,79.5,1008.2,212.9,5083,11,6,264
11,27.7,80.1,1007.9,390.6,5017,11,6,264
11,31.2,76.3,1007.3,359.7,4947,11,6,264
11,28.3,87.2,1007.7,286.9,5094,11,6,264
26,27.7,82.9,1009.8,121.4,4379,11,6,264
26,30.5,71.4,1008.7,223.2,5059,11,6,264
26,31.8,74.2,1009.0,258.2,4485,11,6,264
26,29.1,86.6,1007.7,259.3,4158,11,6,264
12,30.0,72.2,1008.4,284.8,5047,11,6,270
12,27.9,82.0,1008.5,283.2,4737,11,6,270
12,31.1,78.2,1009.8,227.3,3941,11,6,270
12,29.4,78.1,1008.9,188.1,5067,11,6,270
12,29.1,79.2,1008.7,125.8,4518,11,6,270
27,28.3,83.4,1009.6,361.5,3501,11,6,270
27,30.9,82.7,1009.8,157.3,4291,11,6,270
27,29.6,78.7,1009.8,333.9,4403,11,6,270
27,28.4,77.2,1008.9,322.8,3703,11,6,270
13,31.0,84.2,1008.2,288.1,4932,11,6,276
13,28.6,76.1,1007.2,225.8,4587,11,6,276
13,32.8,79.6,1007.4,240.6,4231,11,6,276
13,30.7,79.9,1009.8,310.5,4570,11,6,276
13,31.4,85.3,1009.7,301.1,4824,11,6,276
28,28.5,83.8,1008.3,203.4,4006,11,6,276
28,28.1,78.7,1009.6,266.8,4862,11,6,276
28,28.6,82.0,1009.8,281.0,4257,11,6,276
28,30.3,75.0,1008.7,334.2,4451,11,6,276
14,29.3,83.6,1008.9,164.0,4243,11,6,282
14,30.4,83.7,1005.0,117.5,4440,11,6,282
14,30.9,82.3,1007.3,320.7,3591,11,6,282
14,31.2,81.5,1005.3,212.1,3812,11,6,282
14,30.1,85.6,1006.1,293.3,4240,11,6,282
29,28.8,85.8,1009.5,185.0,4289,11,6,282
29,27.5,81.0,1005.6,182.1,4872,11,6,282
29,31.2,82.0,1007.2,308.9,4659,11,6,282
29,29.9,86.1,1008.7,306.8,5052,11,6,282
15,29.5,88.3,1009.0,187.4,4351,12,6,288
15,28.6,86.7,1008.7,206.9,5094,12,6,288
15,30.5,84.2,1009.8,321.3,5094,12,6,288
15,28.3,83.8,1009.8,226.7,3965,12,6,288
15,29.8,88.3,1006.2,205.9,4377,12,6,288
30,29.0,84.1,1009.8,211.7,4092,12,6,288
30,29.2,88.3,1009.8,208.9,3917,12,6,288
30,29.9,82.8,1007.2,137.0,4158,12,6,288
30,27.9,83.6,1009.8,246.3,4604,12,6,288
